trial_type,rt,stimulus,response,trial_index,plugin_version,time_elapsed,consent_response,consent_timestamp,prolific_id,task,item_id,condition,audio
html-button-response,11333,"<div class=""instructions""> <h2>Acuerdo de consentimiento</h2> <p> Por favor lee este acuerdo de consentimiento con atención antes de decidir si quieres participar en este experimento. </p> <p> <strong>Descripción:</strong> Estás invitado a participar en una investigación sobre la lengua. El objetivo de esta investigación es entender los atributos sociales que las personas asocian a ciertas formas de hablar. Esta investigación tiene lugar en la plataforma Prolific, con participantes de España. Si decides participar en esta investigación, escucharás voces de hablantes nativos de español y compartirás tu percepción. </p> <p> <strong>Duración:</strong> Esta tarea durará el tiempo compartido en Prolific. Puedes retirar tu participación de este estudio en cualquier momento. </p> <p> <strong>Riesgos y Beneficios:</strong> Los datos de este estudio serán almacenados de manera segura, en cumplimiento con las normas de la Universidad de Stanford, minimizando el riesgo de violación de confidencialidad. Esta investigación avanza en nuestro entendimiento científico de qué características sociales se asocian con ciertas formas de hablar. No podemos ni garantizamos ni prometemos que recibirás algún beneficio de este estudio. </p> <p> <strong>Compensación:</strong> Recibirás como pago la cantidad publicada en Prolific. Si no completas este estudio, recibirás un pago proporcional al tiempo que hayas dedicado. Además, podrías ser elegible para pagos bonus según se describe en las instrucciones. </p> <p> <strong>Derechos de los participantes:</strong> Si has leído este formulario y has decidido participar en este proyecto, por favor entiende que tu participación es voluntaria y tienes el derecho a retirar tu consentimiento o interrumpir tu participación en cualquier momento sin penalización ni pérdida de beneficios a los que de otra manera tengas derecho. La alternativa es no participar. Tienes el derecho a rechazar responder preguntas particulares. Los resultados de este estudio de investigación pueden ser presentados en reuniones científicas o profesionales o publicados en revistas científicas. Tu privacidad individual será mantenida en todos los datos publicados y escritos que resulten de este estudio. De acuerdo con las normas científicas, los datos de este estudio pueden ser utilizados o compartidos con otros investigadores para investigación futura (después de eliminar información identificable) sin consentimiento adicional de ti. </p> <p> <strong>Información de Contacto:</strong> Si tienes alguna pregunta, inquietud o queja sobre esta investigación, su procedimiento, riesgos y beneficios, contacta al Director del Protocolo, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> <p> <strong>Contacto Independiente:</strong> Si no estás satisfecho con la forma en que se está llevando a cabo este estudio, o si tienes alguna preocupación, queja o preguntas generales sobre la investigación o tus derechos como participante, por favor contacta al Comité de Revisión Institucional (IRB) de Stanford para hablar con alguien independiente del equipo de investigación al 650-723-2480 o al 1-866-680-2906, o envía un correo electrónico a irbnonmed@stanford.edu. También puedes escribir al IRB de Stanford, Universidad de Stanford, 1705 El Camino Real, Palo Alto, CA 94306. Por favor guarda o imprime una copia de esta página para tus registros. </p> <p> <strong>Si aceptas participar en esta investigación, por favor haz clic en ""Estoy de acuerdo""</strong> </p></br> </div>",0,0,2.1.0,11337,agree,2026-05-18T19:21:37.385Z,S1,,,,
survey-text,5098,,"{""prolific_id"":""S1""}",1,2.1.0,16441,,,S1,,,,
html-keyboard-response,5545,"
    <div class=""instructions"">
      <h2>Bienvenido</h2>
      <p>Algunos estudios recientes de la psicología social han demostrado que se puede inferir mucho sobre una persona sólo por escuchar su manera de hablar.</p>
      <p>Vas a escuchar unas grabaciones y responder un cuestionario basado en tus intuiciones.</p>
      <p>Pulsa <strong>Espacio</strong> para continuar.</p>
    </div>
  ", ,2,2.1.0,21988,,,S1,,,,
html-keyboard-response,8838,"
    <div class=""instructions"">
      <h2>Las instrucciones</h2>
      <p>Vas a escuchar a <u>10 personas</u>. Cada grabación dura entre <u>2-5 segundos</u>. Escucha las grabaciones tantas veces como quieras. Debes responder a las preguntas después de cada grabación.</p>
      <p>Debes estar en un lugar sin ruido y ponerte <strong><u>los auriculares</u></strong> para poder escuchar bien cada grabación. El estudio <strong><u>durará 10 minutos</u></strong>. No lo pienses demasiado, debes usar tus primeras intuiciones.</p>
      <p>Pulsa <strong>Espacio</strong> para comenzar.</p>
    </div>
  ", ,3,2.1.0,30827,,,S1,,,,
survey-html-form,43735,,"{""q1_s1"":""4"",""q1_s2"":""4"",""q1_s3"":""5"",""q1_s4"":""4"",""q1_s5"":""2"",""q1_s6"":""2"",""q2"":""es administrador/a"",""q3"":""< 30"",""q4"":""Huelva"",""q5"":""""}",4,2.1.0,74564,,,S1,audio_questions,4,ceceo,../data/ceceo-M.ogg
survey-html-form,32495,,"{""q1_s1"":""5"",""q1_s2"":""5"",""q1_s3"":""6"",""q1_s4"":""3"",""q1_s5"":""5"",""q1_s6"":""4"",""q2"":""es médico/a o abogado/a"",""q3"":""30-39"",""q4"":""Otro lugar"",""q5"":""""}",5,2.1.0,107062,,,S1,audio_questions,5,seseo,../data/seseo-R.ogg
survey-html-form,23469,,"{""q1_s1"":""6"",""q1_s2"":""5"",""q1_s3"":""4"",""q1_s4"":""4"",""q1_s5"":""6"",""q1_s6"":""5"",""q2"":""es administrador/a"",""q3"":""< 30"",""q4"":""Otro lugar"",""q5"":""""}",6,2.1.0,130533,,,S1,audio_questions,4,filler,../data/filler-M.ogg
survey-html-form,23207,,"{""q1_s1"":""6"",""q1_s2"":""6"",""q1_s3"":""1"",""q1_s4"":""5"",""q1_s5"":""6"",""q1_s6"":""5"",""q2"":""es administrador/a"",""q3"":""< 30"",""q4"":""Otro lugar"",""q5"":""""}",7,2.1.0,153741,,,S1,audio_questions,3,filler,../data/filler-L.ogg
survey-html-form,27170,,"{""q1_s1"":""4"",""q1_s2"":""4"",""q1_s3"":""1"",""q1_s4"":""4"",""q1_s5"":""4"",""q1_s6"":""3"",""q2"":""trabaja en una tienda"",""q3"":""< 30"",""q4"":""Huelva"",""q5"":""""}",8,2.1.0,180913,,,S1,audio_questions,1,seseo,../data/seseo-I.ogg
survey-html-form,38992,,"{""q1_s1"":""2"",""q1_s2"":""4"",""q1_s3"":""1"",""q1_s4"":""5"",""q1_s5"":""5"",""q1_s6"":""4"",""q2"":""trabaja en una tienda"",""q3"":""< 30"",""q4"":""Huelva"",""q5"":""""}",9,2.1.0,219908,,,S1,audio_questions,3,seseo,../data/seseo-L.ogg
